linear_regression,lasso_selection,correlation_selection,lasso,splines
-19.118474327141403,-18.940819366276866,-21.68063061848898,-25.30926028517374,-12.924936722428274
-38.385896650805876,-20.229389987199287,-20.743480217469568,-16.032330807519873,-25.810697639197294
-22.705651230277898,-41.63135065075771,-21.99967207124736,-12.953001326003632,-9.846481398719051
-26.549394971653083,-31.935570528946105,-21.04494266782754,-26.12664217162031,-23.64377810321566
-29.255775423190325,-14.542330064401497,-48.78655463496017,-20.1471648939136,-10.766591820725344
-15.646321695564911,-20.549505419520045,-26.5676741000301,-26.981689059976464,-8.336623422725868
-23.980917151279595,-16.91913432496918,-44.473537346561194,-29.868773486083665,-15.757625691748233
-22.429959736259402,-21.01625249643338,-17.04966004450949,-21.42079404645555,-11.428091484357665
-18.238357451710826,-31.348151807506422,-24.4767387429862,-33.52694508260355,-6.928323631055005
-23.084008414261717,-19.146558862324966,-22.14727185835669,-17.10483252511675,-26.389445309133535
-23.018625806314326,-31.252674170365058,-17.06417614773485,-29.99479936791326,-22.093794716520296
-46.53830108457692,-32.418683586106624,-21.177743790688226,-26.581733698388778,-25.476676700268168
-32.53090107015699,-20.531268168263406,-20.345041941761473,-21.476388161045744,-15.647692617829541
-16.93109208969759,-34.64819549951097,-14.635628542659969,-20.040654318818873,-13.545478105043946
-27.31853596342337,-18.662329883395905,-32.1730814709085,-30.08335693828013,-9.664468711816626
-14.925682157282885,-11.179273523188513,-25.97561842790872,-16.27039760039549,-20.268227970733527
-18.834434246735395,-16.49015644647272,-20.09085304408316,-18.545405978806276,-12.612670108335859
-16.86615984561616,-15.829949833594442,-23.432984166463147,-18.695007768845397,-13.126433183560252
-31.923997414711994,-18.5078360439285,-21.232967610508865,-26.053649135208524,-20.96726575914184
-31.575628747166387,-14.30018306973364,-26.05054105721558,-40.444955611204385,-9.666591204063748
-25.73269112347986,-17.63763045606833,-33.82486755659078,-14.805374428572236,-16.894410028868943
-28.952120810995346,-19.231528414389903,-18.312147271052826,-13.862813095319838,-47.59430102106651
-35.27426384694418,-34.74854298353851,-17.40705017323269,-35.08233726988997,-10.006459766956871
-13.644373779337483,-44.62209810932875,-29.382279273004002,-25.664371173817425,-11.713281308703804
-13.34730495042418,-27.803185049532534,-20.430833921553905,-15.56233516102481,-15.7980717901425
-21.002820995300418,-28.502174423181614,-26.435448272888195,-37.51189182377228,-10.277861526986184
-17.53961586075352,-24.392814228921708,-18.98939343603083,-20.15656415939578,-8.80191751158917
-22.228160640306033,-27.905902798682188,-38.78790051238854,-14.071262324742492,-8.86791280793534
-31.44599206912715,-14.801855806181981,-24.336092693574944,-10.779912382092814,-6.172195221534715
-47.15513495901884,-23.54825084133815,-29.66189141990851,-25.798433981701393,-27.21440784198778
-16.769831340119982,-24.053650062258512,-20.288630832389526,-29.27806463012222,-10.938846757695227
-15.471143907189333,-46.66005415401064,-23.173167330658533,-31.026383033838822,-9.763721051210387
-17.361461007492355,-16.651885732229008,-8.811988155690521,-23.218542665399763,-24.286906070341196
-24.651636968560823,-18.903845538612362,-16.324406342560984,-38.28798182843966,-31.115374098518313
-18.632376192499223,-30.37156022782616,-19.486939611335917,-30.32765384127796,-11.71317018292382
-28.879765008574807,-15.221023073205531,-41.276407437928334,-17.059556083616677,-24.072979548425423
-21.69310817304964,-22.146881776188142,-27.808260527534976,-34.94829209836171,-12.450884778743367
-41.04154220860515,-26.706238434719424,-23.993994385359418,-17.600415018039687,-31.149784232298945
-23.017158794151396,-20.13292147667621,-29.97789049867776,-10.244015487214675,-14.724225547668217
-14.63839989884197,-28.58233120003476,-20.152843810196664,-17.580378861180296,-13.8728287334517
-19.54648005493825,-26.508213860489636,-27.080283962787043,-7.910389749235935,-11.232107069311779
-29.41558303227257,-25.894812850244204,-18.516297575807563,-24.35630987606092,-9.881596212903052
-13.670100107048741,-18.606852147776866,-16.869227505197717,-34.56581367546893,-14.31372130569623
-20.55797414122185,-34.86088858682629,-19.283113904260905,-12.50779168477476,-38.10706338585556
-16.121436759229145,-22.036582029646915,-24.772641081461323,-21.46089913076994,-9.120760161263176
-38.052028781967365,-13.55724023067136,-29.62512069011029,-60.54728009294208,-13.244386824892963
-36.03960996412688,-22.396784585708332,-14.652804272599207,-24.284988906926003,-37.008276082804244
-29.252442419156896,-31.98441306048949,-21.90092399693643,-23.67801730803782,-9.153127896057384
-15.50012293357115,-15.97917904169852,-14.37893194882653,-20.90681628524992,-10.693338724101093
-33.61118019573994,-28.889757311110564,-48.30695280031597,-22.549871528052808,-8.447854241001489
-26.64641014966813,-37.98091593186033,-19.59732724377538,-25.27241864022872,-15.141330291801674
-14.005072238675272,-18.465879934705534,-38.45607027789122,-15.355525795839737,-12.277718896861316
-10.00266157472455,-18.839083570676976,-19.49003853734702,-30.735428772836322,-12.390131138364
-43.19315405669121,-13.354386939923424,-19.160729183703516,-41.86584710031971,-17.30576135309844
-15.944245311564964,-32.400192917026274,-18.39277812216317,-17.535558067014414,-22.16108467662079
-14.752483970540863,-20.16139597283443,-23.548335208104636,-15.282692519254354,-19.669763836045703
-23.374379456509743,-13.327177629291626,-25.038929030722027,-20.157808795945904,-13.056514031281452
-14.677636757339558,-32.127853826842376,-24.73029170353945,-14.139771782338043,-16.061137314754586
-28.493887795003662,-29.873850409663635,-14.872723514467049,-18.041828072359987,-11.243099264236747
-20.87990074908743,-20.40413605633526,-56.518500132795374,-23.842776750213467,-8.767143958012104
-25.00847722096609,-17.6243205180635,-17.84034324229209,-28.37714460305515,-13.562756760770512
-26.638212666959372,-18.553334567070216,-12.724579551313537,-18.765056859270626,-42.226170067217026
-39.89686416499302,-31.952624917380323,-20.41180802697267,-41.03983974806429,-20.87573782503622
-10.61750808529872,-15.62874068610874,-17.554305489928264,-17.722040522972737,-10.447376177331426
-23.970074266795137,-41.140971168180386,-27.793007441488722,-39.67485786210029,-16.86904638912917
-23.975069374483855,-17.354825245162875,-25.54253490166562,-20.636660975028622,-9.987409901862648
-31.013354245009253,-22.012334606844117,-37.482340427160196,-16.91529474557063,-26.077594827307045
-27.615968396034145,-36.544955073523624,-14.569881984092742,-32.440600108663084,-13.495756597702755
-36.46430533693151,-36.34025458565411,-21.468600034151326,-14.141341858162193,-20.724821085371897
-27.402590725451336,-32.191951149881575,-28.091164758328134,-22.216847208297903,-9.755766743976064
-18.931258674112662,-22.90476700865181,-13.440968928244377,-20.94266438540363,-39.501619871474134
-29.4492212143092,-18.543328602117775,-30.821875309092725,-28.320206150749495,-16.329789437587618
-20.61988849749137,-19.56382667631596,-23.78836243115698,-49.33634677832079,-10.449379000273204
-18.905665414063396,-18.042534441158182,-37.83801678725838,-12.701706162823061,-11.643380162038406
-15.557468483559504,-11.034085741290212,-18.16326578097311,-22.30592235327408,-9.236662670704497
-12.55125959995911,-19.833542875064797,-15.816993998290146,-34.66894491149139,-12.784915675658665
-25.627035076803498,-25.412323690671784,-25.935466350904246,-40.823187034404434,-10.607622902525147
-11.783448309869074,-15.324144714504754,-22.75653250107128,-16.67783496165696,-18.067852379953116
-18.7030349322525,-17.43942713991641,-32.08600097557613,-25.36825903422543,-31.065286840198578
-19.600257572092445,-38.408725979807656,-15.784415911589077,-14.3521062005106,-11.082896270907717
-38.098263648843705,-36.03316845523112,-22.739192243515422,-26.33479487516607,-9.82391583646033
-20.13516537276184,-13.798625731335642,-16.735004968512783,-13.973751812387052,-14.893517119293051
-19.819619351554106,-20.547045452881164,-32.106045208709574,-29.120674364044312,-13.249095112804694
-19.963356543744215,-18.084228733935866,-10.404971895389117,-36.38301942794687,-11.46960233959079
-31.751700199102796,-43.76359816156401,-26.4165171890533,-21.579215907167292,-31.910292521322404
-34.35423851309375,-12.69423596526677,-42.439096621075194,-13.667731648087972,-10.195741647788116
-18.073783618784987,-30.623619041530535,-21.804287406410527,-34.908158700176635,-11.018222225101175
-18.386848516757556,-8.507849366123207,-21.48854994167408,-46.770634809597674,-8.967355574917212
-28.094429531531482,-36.03586941450372,-35.76263790637378,-19.675136416282545,-11.289074104410762
-22.604960349919427,-28.267179355611038,-20.77721517032766,-32.55674563794602,-62.20502126165541
-32.299221598778395,-30.972447946082323,-20.042060214641552,-18.29785367519712,-17.68996617313916
-19.671088754549956,-14.990887158858001,-27.32978212718742,-14.949906964562508,-11.700272274351564
-23.644772150280343,-21.369061173700235,-13.210900622214481,-19.531762129508596,-11.250770447454663
-21.171389580895156,-15.015495410720728,-30.740054090434036,-14.59634701076209,-7.9535468295599605
-40.078278752770075,-20.726131719194758,-34.356185840380306,-26.971228120374604,-12.56000416960248
-20.226937935876016,-31.659320838364486,-11.820185830136948,-16.955059956325943,-10.494644904397159
-23.610215304507687,-23.98872546646412,-21.364113315718033,-13.886102006470733,-28.928630689307038
-58.23277224639285,-28.14549895508451,-39.210783695497454,-43.538190462937486,-10.097000860134775
-16.210779409408392,-15.991928324505063,-16.34386601532923,-26.081374083548326,-14.835706386502702
-15.30176140456593,-36.742532651926766,-43.90039059632219,-23.085870661432963,-10.60962732382453
-23.184652829478424,-25.75149813279256,-10.484299408259648,-10.510695356470427,-16.058165471142058
-18.662449760692567,-10.713001761598484,-16.894243703343427,-25.108151945826346,-9.491910622099942
-18.135402886979755,-21.478469746841412,-29.228560759329163,-29.513064142818106,-21.049200418170685
-16.011297612230603,-33.67711532851593,-26.159279604311724,-18.334802120787224,-9.710733630970596
-21.721210232365888,-23.977692354280613,-16.69686342698127,-13.057594066953973,-30.704275699380368
-32.47306959520722,-20.632581594206226,-18.635319158756015,-40.151755516842805,-12.42158244184728
-38.90217931976157,-12.88386360550745,-33.0632129338203,-43.22821955327176,-24.842255368763052
-22.029124536704543,-27.63387944001757,-17.218810720496336,-17.43227902819222,-15.853746973330777
-20.098822884922125,-16.226085445735272,-9.454978631106561,-17.546774053352294,-14.16208593587346
-35.13529702798743,-33.04538816985266,-26.816562511183253,-32.66091195210278,-10.368316719456972
-18.23679184738441,-14.485076826902137,-29.76225954564714,-14.025295125234644,-11.759645503041972
-15.263595938237978,-11.145261829303667,-33.41732859967298,-18.01250843136801,-11.364132026424175
-21.170638224197347,-36.33800085794404,-26.784132776032962,-32.37425294581067,-15.842177736044247
-22.326595794097283,-31.39625413335416,-18.848370785002054,-14.206426268946881,-26.00271379455041
-25.057195526650734,-28.044182218511747,-16.254166748152798,-28.909955958553486,-8.871333665602402
-21.965705021244602,-27.32878461131517,-24.637658940093846,-22.93010341024894,-24.62544121177801
-17.657793694416213,-17.900655738240932,-15.839892977178414,-28.704771832929357,-30.415554915914825
-18.109298957324413,-18.503440023725954,-9.666298983023479,-17.74031422485587,-9.164365532994863
-30.62584607093856,-16.881275690510193,-17.30525733895433,-29.27263384001206,-22.36767297151261
-18.430607151208964,-32.31019925984962,-33.43546111971829,-31.67523232808976,-9.308010388032251
-32.61683632674512,-17.014850196787098,-20.613333427379306,-23.092640857834038,-13.87171299458379
-8.628554156165388,-24.571120125180123,-12.804862238276508,-16.989338773264777,-24.17155488774271
-40.71620870657173,-33.86555110007984,-46.78709734964636,-27.195794248574604,-15.151612102590944
-31.55101695248554,-19.271936759192762,-20.622531342158805,-20.426741604023537,-9.38386126272827
-30.00869933198708,-16.78883361567285,-34.20573477825368,-31.544649459217013,-18.989952531855746
-15.068455063959389,-42.76119771935075,-29.195064334042296,-19.22084567900296,-11.226997733098568
-38.267895775587384,-16.98766159161256,-19.39199119538177,-14.100424786912304,-11.832796008316684
-22.026154779014053,-15.019962542275973,-17.299491522623196,-26.618168732060038,-12.28411651407102
-26.823146189977415,-15.271501490255876,-11.379353061756895,-31.68243992535583,-18.549498724151597
-21.65080040274055,-31.597793766317373,-29.44890998893657,-24.087973521656906,-22.51850313670735
-16.99731783726668,-22.809962168373442,-26.752215257206462,-18.548650096349007,-46.672621838313816
-24.118702381418018,-17.509904298032385,-27.89564540778733,-15.387083584301038,-9.178900784956568
-36.205400952947066,-31.560073615655753,-28.368338182915494,-37.37524099500976,-8.74359842457234
-11.687744522140804,-23.02532259537538,-31.834249966666395,-26.242621134364693,-9.904958163135788
-28.17195956265973,-21.222453713752493,-31.299049804437765,-27.1773842811547,-17.725779875491327
-11.542652348555198,-42.78526367526824,-15.124821035887608,-23.36638965441872,-15.031315915980434
-32.04234025391453,-18.546564166469295,-13.53425923215565,-17.350000910524358,-15.290226582872988
-33.17477729773938,-26.793582920605438,-32.98366714184217,-15.43945958276362,-25.656897660916005
-15.026483221246323,-39.03306942568519,-16.881108376332424,-19.657220224065803,-16.876224492758457
-17.935786072211645,-29.73600559336166,-23.378444549057523,-53.52282362810885,-9.569713679294761
-23.32298426637948,-18.067973742423646,-22.79899198648289,-37.70582521606235,-14.702915338033387
-33.53085991440312,-16.308342497441306,-10.210198747981895,-15.495763367745909,-10.802919762932984
-28.6596416598041,-13.518281466250203,-25.082400904558394,-17.64723614089538,-21.18613081161295
-12.691344852306875,-27.886599575586548,-39.39718480241123,-15.983722511102247,-11.750980581232698
-29.74103433948177,-23.081920828770293,-11.012879181309989,-22.8070237054828,-16.74663283645494
-15.475572701358509,-22.641419342637427,-42.85844273456181,-28.719707344021185,-20.727411840963285
-18.459810711185973,-33.80922442307416,-54.76907556894575,-20.20302318307935,-23.630692598582087
-26.904501253477328,-35.91398684124754,-15.995281475127952,-24.776820825527818,-9.246532519120642
-21.242636344479845,-18.064068359527624,-12.28488970095156,-17.418584568446395,-17.418534706332668
-20.542945340815344,-20.790711056660466,-18.408197763480718,-25.132227902338368,-13.446822209862578
-14.867205220316283,-23.803926053926123,-22.98681018569965,-16.755347118691514,-9.666428370205004
-31.168313399250547,-17.137787128771752,-21.310885678024633,-30.172046496193854,-6.730846995068566
-24.207559649431314,-17.57876568286882,-26.0884271449447,-17.54370932005734,-28.949000599957415
-24.65206617112804,-24.201408740638616,-24.851286903195305,-19.6812805317951,-32.48484830259987
-55.33340635452945,-21.945709627312556,-26.46936062684565,-42.92741813435049,-12.02784329661967
-12.947283434341696,-30.437486867616897,-18.89276631769541,-25.33963663738713,-9.487604654369022
-28.999321361177127,-17.79355084306196,-23.162732569861177,-14.21225850169106,-13.830790368087717
-27.113772212559223,-28.792777095255925,-30.394709109757073,-35.66221815163283,-36.145942704287464
-21.487101162983684,-22.22798627190943,-32.99061750517095,-19.824270678023538,-10.866079711535805
-28.83539116796541,-22.517629184716114,-26.450062858177816,-14.09927705376053,-9.672628768054357
-17.30538025998694,-17.15083156418836,-18.228881176625432,-43.591695943378525,-14.936898066896598
-24.636804899969537,-31.347953431684658,-14.806903395388963,-12.715887405358808,-10.367330571137403
-18.64079048817067,-38.27668201618249,-30.97610710322679,-36.168772327653144,-18.695736971735016
-17.862238749992827,-17.845323138195173,-21.432478372471824,-32.69345869011635,-12.03025546320961
-16.344798574257574,-18.429951260386936,-23.846213263819713,-23.750492152367414,-24.03842877126036
-42.171044188907956,-27.52936409186563,-17.325699113747792,-18.734866036183647,-13.181186436167327
-15.288567807545949,-26.089206035161837,-27.940764659124415,-37.081826540355316,-11.920527135720302
-32.33073779032189,-32.46181004414323,-12.088860716698349,-53.126579491578084,-17.174926863883023
-20.766768279454517,-14.43630854078165,-17.12252173880563,-25.970414299195845,-10.009391572755094
-12.449630358906942,-24.15791933569075,-27.444461647307577,-15.757261110293948,-19.54840755095846
-12.629293379962688,-20.216882668112383,-14.034862378921552,-20.52104514116268,-11.403982106739308
-17.227804845355855,-30.699056604361704,-37.166766461286294,-16.454999553572602,-9.70394586659156
-17.84990339971538,-17.900819194605187,-22.310468892661053,-17.284110844831957,-20.781080057878267
-58.97756375795885,-31.925219486806814,-35.902040105463996,-22.651501110516257,-27.211059897173456
-27.44283279107318,-16.77979273723656,-21.830845975853812,-20.435046714089065,-23.838931372847195
-30.185863043358903,-22.02798434069816,-20.08016940658443,-13.950038485351167,-8.501161882749457
-25.50448148977901,-40.363235974993806,-27.930007880879952,-9.56755221510566,-11.749026184673996
-17.38003752099682,-30.375839728090515,-22.60683622931524,-26.816002431619456,-13.070350511344795
-31.362190550527362,-21.444021397753147,-29.675899238642952,-20.57900601551094,-13.797308342851064
-12.302896912936513,-17.88112795449926,-19.662334508725547,-21.73726730181964,-14.042098995517946
-15.999037016789108,-19.178256822142583,-37.695527360356984,-17.192833462228876,-23.555003361373622
-21.0014446763434,-31.49361022896161,-20.330700469825857,-42.550885784378806,-24.10151380756016
-21.216208656108144,-21.794727191791118,-19.11341033196978,-34.478405374758765,-9.915678203864724
-38.943372670985,-36.43873028483151,-29.003943290209914,-17.741810051831663,-14.872103941623577
-31.591386089553684,-12.07647632105456,-17.97522637824907,-27.014336863143043,-16.589509764070225
-20.971304921069244,-11.049530400571363,-13.823239895512934,-26.616701389226808,-20.80930517765782
-35.67747329528766,-19.728435964835022,-19.74503956297142,-18.429968972363394,-13.880022371991336
-24.533327620512885,-34.38332656610077,-10.709680283840711,-16.899765632214685,-14.633030044738314
-27.687814861512862,-36.97636696099662,-45.70224082558826,-36.98262073531948,-8.674138199550352
